timestamp,latitude,longitude
2025-06-01 08:00:29,40.3229853,28.0004517
2025-06-01 08:00:37,40.3232418,28.0011282
2025-06-01 08:00:43,40.3233922,28.0015249
2025-06-01 08:00:46,40.3234631,28.0019057
2025-06-01 08:00:57,40.3236021,28.0023159
2025-06-01 08:01:05,40.3237897,28.0036441
2025-06-01 08:01:37,40.3201627,28.0076496
2025-06-01 08:02:11,40.3161709,28.0118277
2025-06-01 08:02:13,40.3159422,28.0120554
2025-06-01 08:02:16,40.3156134,28.0124116
2025-06-01 08:04:30,40.3003277,28.0289784
2025-06-01 08:04:35,40.2997026,28.0296485
2025-06-01 08:05:29,40.2935371,28.036257
2025-06-01 08:07:06,40.2830633,28.0473105
2025-06-01 08:07:16,40.281677,28.0483355
2025-06-01 08:09:00,40.2669576,28.0545866
2025-06-01 08:09:18,40.2653724,28.0573401
2025-06-01 08:11:54,40.2607562,28.0869252
2025-06-01 08:11:54,40.2607438,28.0870024
2025-06-01 08:13:08,40.2586677,28.1010529
2025-06-01 08:14:23,40.2569904,28.1155409
2025-06-01 08:14:24,40.2569743,28.1157627
2025-06-01 08:14:45,40.2566538,28.1198052
2025-06-01 08:15:48,40.2574277,28.131946
2025-06-01 08:15:54,40.2572551,28.1331846
2025-06-01 08:15:55,40.2572213,28.1333643
2025-06-01 08:17:06,40.2544308,28.1465898
2025-06-01 08:17:08,40.2543297,28.1470684
2025-06-01 08:18:58,40.2484291,28.1669114
2025-06-01 08:19:00,40.2484218,28.1673465
2025-06-01 08:19:07,40.248449,28.1676893
2025-06-01 08:21:12,40.247323,28.1919909
2025-06-01 08:21:13,40.2472957,28.1921575
2025-06-01 08:23:40,40.241172,28.2195491
2025-06-01 08:23:42,40.2410763,28.2199749
2025-06-01 08:25:00,40.2374749,28.2344519
2025-06-01 08:25:02,40.2375874,28.2345322
2025-06-01 08:27:36,40.2352126,28.2495429
2025-06-01 08:27:45,40.2353539,28.2500775
2025-06-01 08:27:53,40.2354197,28.2503263
2025-06-01 08:28:10,40.235599,28.2511126
2025-06-01 08:28:25,40.2356906,28.2518279
2025-06-01 08:28:36,40.2357033,28.2519695
2025-06-01 08:29:37,40.2334516,28.2566187
2025-06-01 08:30:06,40.2319665,28.2589603
2025-06-01 08:30:34,40.2314598,28.2616908
2025-06-01 08:30:40,40.2310651,28.2621888
2025-06-01 08:30:43,40.2308161,28.2623749
2025-06-01 08:30:44,40.2308308,28.2624802
2025-06-01 08:33:49,40.23743,28.2974573
2025-06-01 08:35:11,40.2366308,28.3132802
2025-06-01 08:35:20,40.2359074,28.3147959
2025-06-01 08:38:25,40.22124,28.3452092
2025-06-01 08:38:27,40.2210715,28.3455555
2025-06-01 08:39:17,40.2170061,28.3536221
2025-06-01 08:39:18,40.2168727,28.3537387
2025-06-01 08:39:20,40.2167606,28.3539363
2025-06-01 08:39:21,40.2167415,28.3540256
2025-06-01 08:39:23,40.2167238,28.3541782
2025-06-01 08:39:24,40.216743,28.3543293
2025-06-01 08:39:37,40.2163142,28.3554565
2025-06-01 08:39:46,40.2161957,28.3557955
2025-06-01 08:40:08,40.216607,28.3565818
2025-06-01 08:40:21,40.2168321,28.3569782
2025-06-01 08:40:45,40.217209,28.3576009
2025-06-01 08:40:56,40.2173203,28.358009
2025-06-01 08:41:07,40.2174075,28.3583396
2025-06-01 08:41:24,40.2175142,28.3587195
2025-06-01 08:41:42,40.2176487,28.3592598
2025-06-01 08:41:49,40.2176657,28.3593554
2025-06-01 08:42:10,40.217782,28.3602953
2025-06-01 08:42:19,40.2178709,28.3602421
2025-06-01 08:42:42,40.2183531,28.3608897
2025-06-01 08:42:59,40.2187773,28.3614327
2025-06-01 08:43:23,40.2193418,28.3621613
2025-06-01 08:43:52,40.2199873,28.3630468
2025-06-01 08:44:00,40.2200704,28.3631528
2025-06-01 08:44:36,40.2209633,28.3644282
2025-06-01 08:44:57,40.2213306,28.36499
2025-06-01 08:45:06,40.2215101,28.3652298
2025-06-01 08:45:16,40.2219503,28.3657187
2025-06-01 08:45:27,40.2223037,28.3661097
2025-06-01 08:45:34,40.2221547,28.3661206
2025-06-01 08:45:44,40.2222957,28.366403
2025-06-01 08:46:14,40.2227607,28.3673527
2025-06-01 08:46:32,40.2229349,28.3680064
2025-06-01 08:47:06,40.2230942,28.3696189
2025-06-01 08:47:33,40.223304,28.3707859
2025-06-01 08:48:07,40.2238091,28.3720552
2025-06-01 08:48:24,40.2237969,28.3727412
2025-06-01 08:48:43,40.2237097,28.3735988
2025-06-01 08:48:57,40.2236816,28.3739334
2025-06-01 08:49:28,40.2231759,28.3752547
2025-06-01 08:52:20,40.2323606,28.3872957
2025-06-01 08:58:21,40.2448102,28.4202311
2025-06-01 08:58:28,40.2448634,28.420494
2025-06-01 08:58:50,40.2446259,28.4223071
2025-06-01 08:59:12,40.244604,28.4240334
2025-06-01 09:00:14,40.2431255,28.4291307
2025-06-01 09:00:41,40.243682,28.4310701
